south,west,north,east
40.6387194,-73.80001440000002,40.6471076,-73.78890279999997
40.6387194,-73.78890279999997,40.6471076,-73.7777912
40.6387194,-73.7777912,40.6471076,-73.7666796
40.6471076,-73.80001440000002,40.6554958,-73.78890279999997
40.6471076,-73.78890279999997,40.6554958,-73.7777912
40.663884,-73.9889116,40.6722722,-73.9778
40.6722722,-74.0000232,40.6806604,-73.9889116
40.6722722,-73.9889116,40.6806604,-73.9778
40.6722722,-73.9778,40.6806604,-73.96668840000002
40.6806604,-74.0000232,40.68904860000001,-73.9889116
40.6806604,-73.9889116,40.68904860000001,-73.9778
40.6806604,-73.9778,40.68904860000001,-73.96668840000002
40.68904860000001,-74.0000232,40.6974368,-73.9889116
40.68904860000001,-73.9889116,40.6974368,-73.9778
40.68904860000001,-73.9778,40.6974368,-73.96668840000002
40.6974368,-74.0222464,40.705825,-74.0111348
40.6974368,-74.0111348,40.705825,-74.0000232
40.6974368,-74.0000232,40.705825,-73.9889116
40.6974368,-73.9889116,40.705825,-73.9778
40.705825,-74.0222464,40.7142132,-74.0111348
40.705825,-74.0111348,40.7142132,-74.0000232
40.705825,-74.0000232,40.7142132,-73.9889116
40.705825,-73.96668840000002,40.7142132,-73.95557679999997
40.705825,-73.95557679999997,40.7142132,-73.9444652
40.705825,-73.9444652,40.7142132,-73.93335359999998
40.7142132,-74.0222464,40.7226014,-74.0111348
40.7142132,-74.0111348,40.7226014,-74.0000232
40.7142132,-74.0000232,40.7226014,-73.9889116
40.7142132,-73.9889116,40.7226014,-73.9778
40.7142132,-73.96668840000002,40.7226014,-73.95557679999997
40.7142132,-73.95557679999997,40.7226014,-73.9444652
40.7226014,-74.0111348,40.7309896,-74.0000232
40.7226014,-74.0000232,40.7309896,-73.9889116
40.7226014,-73.9889116,40.7309896,-73.9778
40.7226014,-73.9778,40.7309896,-73.96668840000002
40.7226014,-73.95557679999997,40.7309896,-73.9444652
40.7309896,-74.0111348,40.7393778,-74.0000232
40.7309896,-74.0000232,40.7393778,-73.9889116
40.7309896,-73.9889116,40.7393778,-73.9778
40.7309896,-73.9778,40.7393778,-73.96668840000002
40.7393778,-74.0111348,40.747766,-74.0000232
40.7393778,-74.0000232,40.747766,-73.9889116
40.7393778,-73.9889116,40.747766,-73.9778
40.7393778,-73.9778,40.747766,-73.96668840000002
40.7393778,-73.95557679999997,40.747766,-73.9444652
40.7393778,-73.93335359999998,40.747766,-73.922242
40.7393778,-73.922242,40.747766,-73.9111304
40.7393778,-73.9111304,40.747766,-73.9000188
40.7393778,-73.9000188,40.747766,-73.8889072
40.747766,-74.0111348,40.75615420000001,-74.0000232
40.747766,-74.0000232,40.75615420000001,-73.9889116
40.747766,-73.9889116,40.75615420000001,-73.9778
40.747766,-73.9778,40.75615420000001,-73.96668840000002
40.747766,-73.96668840000002,40.75615420000001,-73.95557679999997
40.747766,-73.9444652,40.75615420000001,-73.93335359999998
40.75615420000001,-74.0111348,40.7645424,-74.0000232
40.75615420000001,-74.0000232,40.7645424,-73.9889116
40.75615420000001,-73.9889116,40.7645424,-73.9778
40.75615420000001,-73.9778,40.7645424,-73.96668840000002
40.75615420000001,-73.96668840000002,40.7645424,-73.95557679999997
40.75615420000001,-73.95557679999997,40.7645424,-73.9444652
40.75615420000001,-73.93335359999998,40.7645424,-73.922242
40.75615420000001,-73.922242,40.7645424,-73.9111304
40.7645424,-74.0000232,40.7729306,-73.9889116
40.7645424,-73.9889116,40.7729306,-73.9778
40.7645424,-73.9778,40.7729306,-73.96668840000002
40.7645424,-73.96668840000002,40.7729306,-73.95557679999997
40.7645424,-73.95557679999997,40.7729306,-73.9444652
40.7645424,-73.93335359999998,40.7729306,-73.922242
40.7645424,-73.922242,40.7729306,-73.9111304
40.7645424,-73.87779559999998,40.7729306,-73.86668399999998
40.7645424,-73.86668399999998,40.7729306,-73.8555724
40.7729306,-74.0000232,40.7813188,-73.9889116
40.7729306,-73.9889116,40.7813188,-73.9778
40.7729306,-73.9778,40.7813188,-73.96668840000002
40.7729306,-73.96668840000002,40.7813188,-73.95557679999997
40.7729306,-73.95557679999997,40.7813188,-73.9444652
40.7729306,-73.9444652,40.7813188,-73.93335359999998
40.7729306,-73.8889072,40.7813188,-73.87779559999998
40.7729306,-73.87779559999998,40.7813188,-73.86668399999998
40.7813188,-73.9889116,40.789707,-73.9778
40.7813188,-73.9778,40.789707,-73.96668840000002
40.7813188,-73.96668840000002,40.789707,-73.95557679999997
40.7813188,-73.95557679999997,40.789707,-73.9444652
40.7813188,-73.9444652,40.789707,-73.93335359999998
40.789707,-73.9778,40.79809520000001,-73.96668840000002
40.789707,-73.96668840000002,40.79809520000001,-73.95557679999997
40.789707,-73.95557679999997,40.79809520000001,-73.9444652
40.789707,-73.9444652,40.79809520000001,-73.93335359999998
40.79809520000001,-73.9778,40.8064834,-73.96668840000002
40.79809520000001,-73.96668840000002,40.8064834,-73.95557679999997
40.79809520000001,-73.95557679999997,40.8064834,-73.9444652
40.79809520000001,-73.9444652,40.8064834,-73.93335359999998
40.8064834,-73.96668840000002,40.8148716,-73.95557679999997
40.8064834,-73.95557679999997,40.8148716,-73.9444652
40.8064834,-73.9444652,40.8148716,-73.93335359999998
40.8148716,-73.96668840000002,40.8232598,-73.95557679999997
40.8148716,-73.95557679999997,40.8232598,-73.9444652
40.8148716,-73.9444652,40.8232598,-73.93335359999998
40.8232598,-73.95557679999997,40.831648,-73.9444652
40.831648,-73.9444652,40.8400362,-73.93335359999998
40.8400362,-73.9444652,40.8484244,-73.93335359999998
